编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,桥段名称,前置铺垫,核心爽点,转折设计,反套路变种
TR-011,write|plan,桥段,知识补充,误会解除|真相大白|虐后回甜|和好桥段,误会怎么解除|真相大白怎么写|虐后回甜怎么释放,现言|古言|幻言,先确保误会压得足够久，再用证据或生死节点击穿误解，让悔恨和释然一起爆开。,误会解除真正的爽点不是解释本身，而是积压已久的委屈、悔恨和信任回流同时爆发。,日记、第三人坦白或生死场面都能当触发器，但解除误会后最好保留一段修复期，而不是立刻归零。,误会解除后的情绪回流,误会长期压着关系|双方都有未说出口的话|一方承受委屈,真相大白|悔恨补偿|关系回暖,通过旧日记录|第三人坦白|生死关头把误解一次击穿,解除误会后不立刻复合，而是先进入补偿和修复期
TR-012,write|plan,桥段,知识补充,校园霸凌|规则反杀|录证据|社死清算,校园霸凌怎么反击|不动手怎么打脸|霸凌者怎么社死,都市|校园|现言,优先用规则、录音、直播和舆论完成反杀，让主角赢在脑子和证据而不是单纯斗殴。,校园霸凌反击最解气的不是打回去，而是让霸凌者在规则和公开场合里完成社会性死亡。,录下自白、策反跟班、引导霸凌者在众人面前暴露真面目，都比私下动手更有后续杀伤力。,校园霸凌规则反杀,霸凌者长期压迫|主角积累证据|校规或舆论可被利用,公开翻盘|社死清算|主角不脏手,通过录音直播|同伙倒戈|现场逼供让对方亲口坐实罪证,主角不急着一次掀桌，而是先拆掉霸凌者的跟班和保护伞再总清算
TR-013,write|plan,桥段,知识补充,拍卖会捡漏|瞳术识宝|废物宝物|低价捡宝,拍卖会捡漏怎么写|透视识宝怎么写|废物宝物反转,玄幻|仙侠|奇幻,先把破烂外表和路人嘲讽铺够，再亮出内在价值，捡漏必须依赖主角独有识别能力。,拍卖会捡漏桥段的爽点来自人人看走眼而主角独自识宝，让低价买入和高价价值形成巨大反差。,外表越不起眼越好，围观者越轻视越好，等真正身份揭开时，反差才会把主角眼力和能力一起抬高。,拍卖会捡漏翻盘,主角拥有特殊识别能力|拍品表面破烂|周围人普遍看低,众人看走眼|主角低价捡宝|价值暴涨反转,通过瞳术窥见灵光|拍卖后当场认主|后续高人认出真身完成补刀,主角先故意压价装作误买，等离场后再让真正价值慢慢浮出水面
TR-014,write|plan,桥段,知识补充,炼丹炸炉|丹药变异|灰头土脸|意外之喜,炼丹炸炉怎么写|失败后出奇迹怎么排|变异丹药桥段,玄幻|仙侠|奇幻,先把失败和狼狈写足，再抛出意外收获，别把炸炉写成没有代价的喜剧按钮。,炼丹炸炉桥段的乐趣在于先狼狈翻车，再从失败里蹦出变异成果，让喜剧和机缘同时到位。,黑脸、碎炉、师父发火都是必要铺垫，真正的爽点要落在废丹变奇丹或失败引出新路线。,炼丹炸炉变异出丹,高风险炼丹|材料有异|主角经验不足或赌一把,狼狈喜剧|失败反转|意外机缘,通过温度失控|异材混入|炉身开裂让丹药向异常方向突变,炸炉后不立刻出神丹，而是先得到一枚怪丹，后续多次验证才发现真正价值
TR-015,write|plan,桥段,知识补充,科举作弊|考场反作弊|贡院高压|历史考试,科举考场怎么写|作弊反作弊怎么排|贡院紧张感怎么写,历史|古言|权谋,把作弊手段、搜检压力和监考巡逻都写具体，让考场像战场而不是普通考试。,科举考场桥段的张力来自高压搜检、作弊巧思和随时可能被拖走的恐惧。,就算主角不作弊，也可以借隔壁考生被抓、夹带小抄和巡逻逼近制造强烈压迫感。,科举考场作弊与反作弊,贡院规则森严|考生压力极大|有人暗中准备夹带或买通,高压博弈|临场应变|规则残酷感,通过搜身加严|他人暴露|借混乱藏证据或反咬对手完成局面变化,主角坚持不作弊，却借旁人作弊案看穿更大的考场黑幕
TR-016,write|plan,桥段,知识补充,学院大考|震惊教授|非常规答案|学霸打脸,学院大考怎么写|答题震教授怎么排|考试打脸桥段,学院|玄幻|都市|轻小说,先把题目难度和全场预期立住，再让主角用非常规但自洽的答案翻盘，不要只靠老师夸。 ,学院大考桥段的爽点来自主角在高难问题上给出本质解法，让权威先质疑再被迫承认。,教授皱眉、同学错愕、答案落笔时全场安静，这些反应都该服务于主角思路的压倒性清晰。,学院大考非常规破题,考试难度极高|主角常被低估|考题涉及体系核心原理,创新解法|权威改口|全场认知刷新,通过一道超纲题或开放题把主角从正常优秀抬到真正惊艳,主角故意不拿满分，只在最关键一道题上暴露真正水准
TR-017,write|plan,桥段,知识补充,封印仪式|解封仪式|光链镇压|仪式反噬,封印场面怎么写|解封仪式怎么有仪式感|咒语场景怎么排,玄幻|奇幻|仙侠,咒语、材料、动作和代价要同时落地，让仪式感来自秩序和牺牲，而不是堆辞藻。,封印与解封桥段的力量来自可视化仪式步骤和明确代价，让读者感觉每一步都不能错。,光链升起、法阵闭合、施术者吐血或折寿，这些都能把仪式写得既壮观又危险。,封印解封仪式反噬,目标极强|阵法材料齐备|施术者必须付出巨大代价,仪式壮观|秩序压制|代价兑现,通过咒文缺口|祭品不足|目标反扑把仪式推到临界失败边缘,封印成功却留下暗门，让若干卷后解封危机重新爆发
TR-018,write|plan,桥段,知识补充,茶馆接头|暗号接头|跟踪反侦察|卧底脱身,接头桥段怎么写|暗号碰头怎么惊险|谍战茶馆场面怎么做,悬疑|都市|历史|权谋,接头必须藏在日常动作里，并准备中止信号和脱身路线，别让卧底像背台词。 ,茶馆接头桥段好看的地方，在于平常一句寒暄和一个杯盏动作背后藏着生死等级的情报交换。,跟踪者、巡逻、错位暗号和紧急取消都能把一场安静对话写出比追车还紧的压迫感。,茶馆接头暗号险过关,双方不能直接相认|环境人多眼杂|有跟踪或巡逻压力,日常伪装|险中传信|临场脱身,通过暗号对不上|尾随逼近|紧急中止信号让接头从正常交换转成逃脱,接头对象故意给出半真半假的暗号，反过来测试主角身份是否暴露
TR-019,write|plan,桥段,知识补充,黑市交易|违禁品|地下拍卖|买货被追缉,黑市桥段怎么写|违禁品交易怎么有禁忌感|地下交易怎么排,都市|玄幻|科幻|悬疑,先写禁忌感和风险，再写诱惑，交易完成后最好立刻引出追查或副作用。 ,黑市交易桥段真正有味道的点不只是买到好东西，而是主角刚拿到货就已经站进风险中心。,蒙面人、低声报价、带诅咒的便宜货和政府追踪芯片都能让一场购买直接变成后续剧情起爆点。,黑市禁物交易反噬,正规渠道买不到目标物|交易地点危险|商品自带风险或来历问题,禁忌诱惑|险价成交|立刻惹上后患,通过假货|追踪|诅咒发作|执法围堵把简单购买扭成危机脱身,主角故意买下有追踪的禁物，反钓更高层买家或幕后主使
TR-020,write|plan,桥段,知识补充,攀科技树|土法造物|玻璃肥皂火药|穿越装逼,科技树怎么点亮|土法造玻璃怎么写|穿越技术装逼桥段,历史|种田|奇幻,先写试错和土法替代，再让成果亮相，震惊感必须建立在艰难实现而不是背配方秒成。 ,科技 uplift 桥段好看时，不只是做出东西，而是让古代条件下一步步逼近现代工艺的过程本身有戏。,玻璃、肥皂、火药这类成果最适合通过多轮失败、材料替换和第一次成功亮相来完成压抑后的技术爽点。,土法造物点亮科技树,工业条件不足|材料难找|周围人不信可行,试错成功|成果显形|文明差碾压,通过临时替代材料或意外灵感跨过关键工艺门槛,第一次成果并不完美，却先在小范围解决现实问题，再逐步扩张影响力
TR-021,write|plan,桥段,知识补充,误发信号|黑暗森林|宇宙沉默|招来灾祸,误发信号怎么写出恐怖|黑暗森林桥段怎么做|小动作引来天灾,科幻|悬疑,先让读者理解沉默规则，再用主角或人类的一个微小广播动作引爆巨大后果。,黑暗森林桥段最有效的写法，是一次看似无害的信号发射，后来才发现它像在黑夜里点火。 ,先有宇宙沉默的压抑认知，再有误触广播的瞬间，最后用迟来的回应把恐惧慢慢拉满，比直接开战更狠。,误发信号引来天灾,宇宙长期沉默|发信号被视为高危|主角或人类无意触发广播,蝴蝶效应级恐惧|认知崩塌|灾祸将至,通过微弱回应|异常坐标变动|探针靠近把小动作升级成文明危机,回应并非敌意文明，而是比敌意更可怕的自动清洗机制
TR-022,write|plan,桥段,知识补充,梦境核心|直面创伤|影子自我|心理闯关,梦境直面创伤怎么写|影子自我桥段怎么排|内心迷宫高潮,奇幻|悬疑|都市|轻小说,梦境高潮必须让角色面对自己最不愿承认的那一部分，不能只靠打怪通关。 ,梦境核心桥段的高潮不在击败怪物，而在承认伤口、秘密或恐惧本来就是自己的一部分。,锁箱、镜像、影子自我这类核心象征都适合用来逼角色正面回答：我到底在逃什么。,梦境核心直面创伤,梦境层层下潜|创伤被不断暗示|出口条件与心理突破绑定,自我对峙|真相承认|精神破局,通过核心象征物破裂或影子自我说出真话，让角色完成真正意义上的出迷宫,角色没有完全治愈，只是学会带着裂口继续前进，保留后续余波
TR-023,write|plan,桥段,知识补充,中立区|和平饭店|禁战规则|刺客对峙,和平饭店桥段怎么写|中立区对峙怎么有火药味|不能动手的场面怎么紧张,都市|悬疑|奇幻|动作,把规则说清后，让最危险的人在不能动手的地方对视、试探、谈判，张力来自压住不爆。 ,中立区桥段的美感在于所有人都知道这里不能开火，于是每一句话都像替代子弹的试射。,越是狠角色云集，越要靠规矩、眼神、站位和服务人员的存在感去维持这份危险平衡。,中立区禁战对峙,中立区规矩绝对|多方势力都需借此空间交易或歇脚|外面杀机未散,压枪不爆|规矩压人|话术交锋,通过有人差点破规|中立区执法者入场|交易条件突变把对峙推高,表面没人动手，真正的杀局在离开中立区后的第一条街开始启动
TR-024,write|plan,桥段,知识补充,配角番外|支线补完|暗中救主|视角补叙,配角番外怎么写|支线怎么补完正文|原来他偷偷救过主角怎么排,全部,番外必须回收正文里某个疑点或选择，让配角支线反过来补强正篇，不要写成可删可不删的流水小传。,高价值番外的爽点，不在于单独讲个新故事，而在于它让读者重新理解正文里的一个关键瞬间。,老管家、反派手下、路人战友都适合当番外主角，重点是揭示他曾在暗处推了主线一把。,配角支线暗线救主,正文里某次关键节点存在疑点|配角动机尚未说透|读者对其印象足够强,旧疑点回收|忠诚反转|侧面抬高主角与配角厚度,在番外中揭示配角当年改了情报、挡了追杀或故意背锅，让正文旧场面重新发亮,番外不是纯护主，而是配角在自救、自保和护主之间做了复杂选择
TR-025,write|plan,桥段,知识补充,发现式钩子|章末发现|打开密门|新线索揭晓,章末发现类钩子怎么写|开门后看到什么最吊人|结尾发现线索怎么排,悬疑|奇幻|科幻|冒险,把发现本身卡在认知即将完成的一瞬间，让读者知道出事了，但还没拿到完整答案。,发现式章末钩子最适合探索类剧情，它靠新信息突然改写读者对整个场面的理解。,空房里多出镜中人、箱子里不是证据而是旧照片、遗迹门后站着不该活着的人，都是高效钩子。,章节结尾发现式钩子,角色正在探索|读者已形成某种预期|现场有可被突然改写的认知对象,新信息刺穿旧理解|认知翻面|下一章欲望被瞬间拉满,通过开门|点灯|翻页|照镜等动作，在最后一句揭出最关键的异常画面,发现的不是实体，而是一个时间差或视角差，让读者先怀疑自己看错
TR-026,write|plan,桥段,知识补充,危险式钩子|章末危机|枪顶后脑|下一秒要出事,危险类章末钩子怎么写|结尾怎么卡在危机上|下一章想点开怎么办,悬疑|动作|都市|无限流,危险式钩子要卡在角色还来不及反应的那半步，不要危险已经解决了才收章。,危险式章末钩子最直接，它让读者在生理层面想立刻翻页确认主角有没有活下来。,枪口、脚下塌陷、规则触发、门外脚步都可以做钩子，关键是切断点要狠。,章节结尾危险式钩子,场面张力已被抬高|角色处于半安全状态|危险有突然袭来的空间,瞬时危机|断点强切|读者代入性极高,在角色刚放松或刚得出结论时，用一个近身威胁把安全感瞬间撕碎,危险表面来自敌人，实则来自看似已被破解的规则重新发动
TR-027,write|plan,桥段,知识补充,身份揭露|身世反转|他竟然是|章末认亲反转,身份揭露钩子怎么写|结尾认出某人怎么排|身世反转怎么卡章节,悬疑|狗血|奇幻|现言,身份揭露要选能改写关系网的角色，揭完不只是震惊，还必须连带改变下一步选择。,身份揭露式钩子之所以强，是因为它一秒钟同时改写过去理解和未来走向。,仇人原来是亲属、导师原来是假身份、证人原来是旧案幸存者，这些都能把章节切口拉得很大。,章节结尾身份揭露钩子,角色身份有疑点或空白|读者对关系已有稳固认知|揭露后能立刻引发选择变化,认知重构|关系翻盘|下一章自动带路,通过称呼、旧物、监控、血缘结果或第三方证词，在结尾一句击穿伪装,揭露的身份是真的，但揭露场景本身是被人故意安排的局中局
TR-028,write|plan,桥段,知识补充,反派交易|恶魔契约|三选一|诱惑选择|卖队友,反派提出交易怎么写|恶魔诱惑桥段怎么排|三选一抉择怎么做,悬疑|奇幻|无限流|狗血,给每个选项都配真实收益和真实代价，让交易像在挖人性而不是送分题。,反派交易桥段好看的地方，不是主角选了什么，而是每个选项都让他失去一块东西。,答应能保命但会失去同伴，拒绝会重伤却保住底线，假意答应则需要高风险反制，这类结构最有戏。,反派交易诱惑三选一,反派短期内不急着杀主角|主角确实处在弱势|场上存在必须取舍的筹码,人性抉择|高压博弈|隐藏最优解,先把显性两条路摆出，再用条件门槛或情报差藏住第三条真正的破局路线,主角表面选错，实则借错误选项逼出反派底牌，再反手翻桌
TR-029,write|plan,桥段,知识补充,假意投诚|卧底反捅|将计就计|伪装合作,假装投降怎么写|潜入反派内部怎么反杀|表面合作后背刺怎么排,谍战|悬疑|都市|奇幻,投诚必须先过信任测试，再让主角用半真半假的合作换核心情报，不要一混进去就全拿到。,假意投诚桥段的爽点，在于主角把自己放进虎口里，再用更大的耐心和控制力反咬回去。,最好让反派也在试探主角，双方都觉得自己在钓鱼，张力才会持续攀升。,假意投诚后背刺反转,主角需要进入敌方核心|敌方愿意利用而非立即处决|主角有足够自保底牌,双向试探|高压潜伏|临门反刺,通过交出半真情报、完成一次小任务、骗取信任后，在关键节点反手改写局面,主角的背刺不是公开掀桌，而是悄悄改掉一个关键变量，让敌方自己崩盘
TR-030,write|plan,桥段,知识补充,大逃杀结盟|临时合作|收缩圈背刺|吃鸡人性,大逃杀结盟怎么写|临时队友什么时候背刺|吃鸡模式人性博弈怎么排,无限流|游戏文|科幻|轻小说,让结盟建立在现实利益上，再用收缩圈、空投或只剩一个名额把合作逼向破裂。,大逃杀里的临时结盟最有味道，因为所有人都知道这段合作从一开始就带着倒计时。,共打强敌、分享补给、互补技能都能促成结盟，但安全区越小，人心越会变得难看。,大逃杀临时结盟背刺,外部威胁足够大|结盟双方互有需求|最终胜者规则足够残酷,短暂信任|利益重排|背刺时刻的人性翻面,通过空投争夺|只剩唯一通关名额|死人异变等机制把队友关系推到决裂边缘,看似最会背刺的角色反而守约到最后，真正先动手的是一开始最温和的人
TR-031,write|plan,桥段,知识补充,微反转补刀|假结束|还有一手|二次翻面,爽点后怎么再补一刀|以为结束又翻面怎么排|微反转桥段怎么做,全部,主爽点兑现后先给一个足够像收尾的落点，再用前文埋过的第二手补刀，别靠临时加戏硬翻。,爽点兑现后微反转补刀之所以有效，是因为它利用了读者刚放松的那半拍。,打脸、翻盘、告白、破案都适合接补刀，重点不是再打一遍，而是让结果在更高维度再亮一次。,爽点兑现后微反转补刀,主爽点已立住|读者与角色都有阶段结束预期|前文埋过第二层回报或更大后果,先满足再加码|松气后再被推高|一章内双重回报,先让众人以为事情到此为止，再用身份揭露、额外奖励、隐藏证据或更惨后果完成二次翻面,补刀不是更强打脸，而是情感、真相或代价层面的更深兑现
TR-032,write|plan,桥段,知识补充,聚餐埋雷|大战前吃饭|最后的平静|温情伏笔,任务前聚餐桥段怎么写|大战前最后的平静怎么排|温情戏怎么顺手埋雷,全部,先让这一顿饭真的像日常，再把漏口风和异样动作压在边角里，别把危险感写在脸上。,任务前聚餐埋雷桥段的力量，在于读者回头看时才发现那顿饭早就不只是饭。,谁多拿了一双筷子、谁忽然安静、谁反常地劝酒、谁把旧物又塞回别人手里，都能成为后劲很长的雷。,任务前聚餐温情埋雷,大战或远行在即|角色暂时安全|读者对队伍关系已有感情基础,温情积累|后知后觉的心口一紧|平静反衬风暴,在一段真诚放松后，用一句漏口风、一个不自然动作或少说的话，埋下后续大变故,饭后并非下一章立刻出事，而是数章后回收，让读者想起这顿饭时更痛
TR-033,write|plan,桥段,知识补充,绝境禁术|开挂反噬|底牌翻盘|禁术代价,绝境开挂怎么写|禁术翻盘桥段怎么排|有代价的爆发怎么更爽,玄幻|奇幻|都市|系统文,先证明常规手段全废，再让禁术出场；翻盘和反噬必须同场落地，不能只爽不伤。,绝境启用禁术反噬翻盘桥段的爽点，在于主角是拿自己去换赢，不是白捡按钮。,这类桥段最适合旧底牌首次失控、被迫开启禁区能力、或明知会出后遗症却仍要救人时使用。,绝境启用禁术反噬翻盘,能力代价早已埋过|常规方案已被逐一否掉|场上存在非救不可的人或事,绝境爆发|以命换胜|赢了也在流血,在敌人或读者都以为无解时启动底牌，胜局刚成，代价立刻通过身体、秘密暴露或环境失控追上来,翻盘并不彻底，禁术只换来撤退或保下一人，把真正的大债留到后面
TR-034,write|plan,桥段,知识补充,反派独白|旧局重解|视角翻面|误判真相,反派视角怎么重新解释旧剧情|反派独白桥段怎么有价值|切反派视角能带来什么,悬疑|权谋|奇幻|都市,反派视角的价值是重解旧局和暴露新计划，不是让他对空气完整复盘自己的全部阴谋。,反派独白重解旧局桥段能让读者突然意识到，原来过去那一幕在另一个脑子里是完全不同的意义。,最好选择一个读者已经有固定认知的旧事件，从反派的理解、误判或保留中让画面重新发亮。,反派独白重解旧局,正文已有一个关键事件或旧误会|反派对该事件有独特信息差|切视角会带来新推进,认知翻面|反派逻辑显形|旧线突然增值,借反派独处、清理残局、布置后手或看监控时，抛出一条足以改写旧局理解的新信息,独白揭示的并非真相，而是反派自以为的真相，让他带着偏差走向下一次失败
TR-035,write|plan,桥段,知识补充,假和解宴|表面叙旧|酒桌试探|旧友会面,假和解桥段怎么写|旧友坐下来谈怎么有火药味|酒桌试探怎么排,悬疑|现言|权谋|都市,让礼貌和旧情都留着，但真正的刀藏在称呼、祝酒和谁先提旧事上，不要几句就把局掀翻。,假和解宴上的张力，来自所有人都假装能体面坐下，但没有人真的打算把旧账翻篇。,这种桥段适合旧搭档反目、前任合作、同门再见或阵营暂时停火，酒桌、茶席、接风宴都很好用。,假和解宴上二次试探,双方有旧怨却短期必须合作|场上有礼数或第三方在场|旧伤点明确可触发,礼貌里藏刀|旧情与敌意并存|每句闲话都像在试刀锋,通过祝酒、旧物、旧称呼或旁人提及往事，把表面和气一点点掀开，逼出真正态度,真正被试探的不是当事双方，而是席间的第三人或隐藏旁听者
TR-036,write|plan,桥段,知识补充,压力接力|更高阶对手|小boss后中boss|阶段胜利不喘气,打完一个boss后怎么接更大压力|阶段胜利后怎么不泄气|对手接力桥段怎么排,全部,阶段胜利后立刻让更高层的压力接手，但升级要换维度，别只是把敌人换成更厚血条。,小BOSS倒下后中BOSS接力施压桥段的价值，是让阶段爽点不至于把长篇张力一次放空。,庆功刚起、战利品刚到手、主角刚露锋芒时，更高层对手通过封锁、招安、通缉、规则更改来接管局面最有效。,小BOSS倒下后中BOSS接力施压,主角刚拿到阶段胜利|上层势力早有影子|读者知道事情不会这么简单结束,爽完不停机|更高维压力登场|世界难度突然拔高,在众人以为可以喘气时，让资源断供、通缉升级、上级入场或规则突变把局面重新拧紧,更高层对手不是来打，而是来招安、封赏或借刀，表面给糖实则套索更紧
TR-037,write|plan,桥段,知识补充,闲聊拼图|日常出真相|片言只语|低压破案,日常场景怎么突然拼出真相|闲聊里破案怎么排|轻松场里回收线索怎么做,悬疑|都市|奇幻|群像,把关键线索拆散埋进多人闲聊里，让真相像自己浮出来，而不是突然有人灵光一闪全都懂了。,日常闲聊拼出关键真相桥段最妙的地方，是认知翻面发生在最低压的场景里。,菜价、路线、时间、口头禅、旧照片、谁曾去过哪里，这些零散日常信息一旦卡在一起，就会产生推理快感。,日常闲聊拼出关键真相,线索已提前分散埋下|角色处于相对放松场景|至少两三个人掌握不同碎片,低压场突然翻面|拼图快感|读者和角色一起恍然大悟,借某句无心话、动作习惯或错位信息，让主角或配角把几块旧线索突然拼到一起,第一个拼出真相的不是主角，而是最不起眼的旁观者或孩子
TR-038,write|plan,桥段,知识补充,低谷整队|败后再出发|重组小队|失败后站起来,打输之后怎么继续|队伍低谷怎么重整|失败后重新出发桥段怎么排,全部,低谷整队不是简单打鸡血，而是重新分工、确认代价、修补裂口后再立新目标。,败战低谷整队再出发桥段的爽点，不在当场翻盘，而在角色终于决定不按原来的方式继续输下去。,这类桥段适合大战惨败、任务失败、队伍离心后使用，通过收人、补位、换打法来重建前进感。,败战低谷整队再出发,已出现阶段性重挫|队伍内部有裂口或空缺|角色仍有必须继续的理由,绝望后重新站位|分工重组|带着伤继续向前,先承认失败，再借一次小决定或新职责重排让队伍重新咬合，并抛出下一阶段更明确的目标,整队并未把裂口全部修好，而是让某条隐患被暂时压住，为后续再爆留根
