编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,设定类型,数值控制边界,与剧情交互方式
SY-011,init|plan|write,设定,知识补充,技能冷却|资源循环|技能轮转|爆发填充,技能循环怎么设计|冷却怎么配|蓝耗怎么平衡,游戏|都市|科幻|奇幻,把大招、填充技和续航技拆开设计，爆发频率受冷却和资源共同限制。,技能体系要有爆发、填充、续航三类动作，战斗才会有起伏而不是无限乱放技能。,长冷却高收益技能负责高潮，短冷却低消耗技能负责过渡，回蓝回气技能负责节拍恢复。,技能循环体系,至少区分爆发技|填充技|续航技三类；冷却和资源消耗必须形成制衡,用于安排战斗张弛、职业差异和主角成长后的操作上限
SY-012,init|plan|write,设定,知识补充,抽卡系统|保底机制|概率设计|欧非,抽卡系统怎么设计|保底怎么写|欧皇非酋怎么用,游戏|轻小说|都市|科幻,概率、保底、货币来源和情绪反馈要同时成立，别只写金光一闪却没有机制闭环。,抽卡系统的上瘾感来自低概率惊喜、保底安全感和光效反馈，不是单纯喊出金。,可以用保底次数、歪池机制和货币稀缺度控制节奏，再用欧皇或非酋体质制造角色戏。,抽卡保底机制,必须明确概率区间|保底次数|货币产出|歪池或限定规则,用于制造收集欲、资源焦虑和抽卡时刻的强情绪波动
SY-013,init|plan|write,设定,知识补充,老爷爷|器灵导师|随身系统人格|毒舌导师,老爷爷怎么写|器灵导师怎么塑造|系统要不要有性格,玄幻|仙侠|奇幻|科幻,让随身导师拥有独立怪癖、目标和利益绑定，禁止只在需要解释设定时跳出来。,随身导师型金手指只有具备鲜明性格和自利目标，才不会沦为无情报机器。,脾气、教学方式和复生执念都能反向塑造主角，也能在关键节点制造矛盾与帮助。,随身导师人格,至少明确来历|性格怪癖|教学方式|自身目标；其知识和出手次数都要有限制,用于承担教学、嘴炮、代际冲突和利益捆绑下的合作关系
SY-014,init|plan|write,设定,知识补充,系统惩罚|任务失败|社死惩罚|搞笑任务,失败惩罚怎么写|系统怎么逼主角行动|社死任务怎么设计,都市|轻小说|科幻|奇幻,惩罚要和任务类型匹配，以社死、损失或形象反差驱动行动，别动不动直接抹杀。,轻喜剧和都市系统文里，失败惩罚最有效的是社死和现实损失，因为它既有压迫又能造笑点。,惩罚越具体越好，例如公开出丑、资产缩水、外形变化，但仍要保留作品可承受边界。,失败惩罚机制,惩罚要明确持续时间|影响范围|可承受边界；不能频繁高到直接废主线,用于逼主角行动、制造倒计时紧迫和任务喜剧冲突
SY-015,init|plan|write,设定,知识补充,新手大礼包|开局奖励|首抽爽点|开局超模,新手大礼包怎么写|开局奖励怎么给|首个爽点怎么立,玄幻|都市|科幻|轻小说,开局奖励要一眼看出等级碾压，但也要留下成长空间和后续验证。,新手大礼包承担系统文第一波大爽点，关键是即时超模和后续潜力同时成立。,最好把一个立刻能用的强力奖励和一个后期才完全显现的隐藏奖励组合起来，既爽又不封死后续成长。,开局奖励梯度,至少区分即时战力奖励和长期成长奖励；开局超模但不能把后续成长封死,用于奠定优势、建立读者期待并拉出前期升级路线
SY-016,init|plan|write,设定,知识补充,货币体系|信用货币|反假币|市场繁荣,货币体系怎么建|种田文货币怎么写|信用怎么建立,历史|种田|奇幻|科幻,先写信用来源、背书物和反伪造机制，再写市场繁荣，不要只凭主角一句话就让全世界认账。,货币体系的核心不是铸币本身，而是信用、反假币能力和流通后的利益重分配。,从以物易物走到商品货币再到信用货币时，每一步都要解决信任、通胀和伪造问题。,信用货币体系,必须明确背书物|发行主体|反伪造手段|通胀风险；流通规模要和生产力匹配,用于推动贸易繁荣、财富转移、商人聚集和权力格局变化
SY-017,init|plan|write,设定,知识补充,麦格芬|核心道具|夺宝目标物|人人争夺,麦格芬怎么设计|核心道具怎么设|冒险目标物怎么写,奇幻|悬疑|历史|科幻,目标物的具体功能可以模糊，但所有阵营都必须有强动机争夺它，象征意义要比说明书更重要。,麦格芬类目标物推动剧情的关键不是功能细节，而是它能让所有人动起来。,一个外表普通却牵动王权、永生或合法性的道具，最适合用来串联追逐、背叛和阵营冲突。,核心目标物设定,至少明确象征价值|争夺各方动机|真伪风险|使用门槛；不能人人拿到就立刻全知全能,用于驱动夺宝线、势力碰撞和角色阶段性结盟背刺
SY-018,init|plan|write,设定,知识补充,奇幻地理|异常气候|生态适配|地貌奇观,奇幻地理怎么设计|异常气候怎么写进世界观|浮空岛怎么自洽,玄幻|奇幻|科幻,奇观环境必须带出生存逻辑、资源分布和文明适配方式，不要只停留在漂亮设定图。,独特地理和异常气候只有和资源、危险、居民生活方式绑定，才能真正成为可写的世界观。,浮空岛、地下海、晶体森林都该配套交通、农业、防灾和本地产业，否则只是背景板奇观。,奇观地理与文明适配,至少明确环境异常|关键资源|主要危险|居民适应方式四项,用于制造新地图新鲜感、资源争夺、环境危机和文明差异冲突
SY-019,init|plan|write,设定,知识补充,通货膨胀|购买力锚点|经济波动|异世界经济,异世界经济怎么写|通胀怎么设计|购买力怎么不崩,玄幻|种田|游戏|奇幻,先立基本购买力锚点，再写市场冲击和套利机会，禁止货币数值后期无限膨胀却没人受影响。,经济系统稳定的关键是固定购买力锚点，再让战争、发现矿脉或副本出金冲击市场。,一块面包、一瓶药、一晚客栈多少钱这种基础锚点必须明确，否则后期财富与贫穷都失去尺度感。,购买力锚点与通胀,必须明确基础消费锚点|货币换算|市场冲击来源|主角套利边界,用于制造暴富契机、资源紧缺、商战机会和长线经济压力
SY-020,init|plan|write,设定,知识补充,神话体系|远古传说|预言|创世神话,神话背景怎么搭|预言怎么写进世界观|创世传说怎么做,玄幻|奇幻|仙侠,神话既要有风格，也要能映射现实冲突或未来事件，别把传说写成和主线无关的装饰壁画。,神话和预言最有价值的地方是给世界观增加历史厚重感，并为当前剧情提供象征和伏笔。,神明职能、象征物、创世故事和预言节点都应与现实阵营、禁地或主角命运形成回响。,神话预言体系,至少明确创世叙事|主要神祇或象征|预言触发条件|与现实世界的映照关系,用于铺垫古老冲突、塑造信仰政治和给关键事件增加宿命感
SY-021,init|plan|write,设定,知识补充,大逃杀地图|毒圈|空投|吃鸡机制,大逃杀机制怎么设|吃鸡地图怎么设计|毒圈规则怎么写,游戏|无限流|科幻,地图、收缩区、资源刷新和随机事件必须形成持续逼近机制，让玩家永远不能安全躺平。,大逃杀地图机制的重点是不断压缩选择空间，同时用空投、轰炸区和地形差制造临时热点。,缩圈节奏、初始人数、空投刷新和特殊规则都要先写清，不然副本会很快变成无意义跑图。,大逃杀地图机制,必须明确人数规模|缩圈频率|资源分布|随机事件|最终胜利条件,用于驱动移动、结盟、背叛和最终缩圈决战
SY-022,init|plan|write,设定,知识补充,地下城地图|副本节点|隐藏房间|路线分支,地下城怎么做地图|副本路线怎么排|迷宫怎么设计,游戏|奇幻|无限流,地图必须有主路、分支、强制挑战和隐藏收益，让探索感来自决策而不是乱逛。,地下城结构最怕平铺直叙走廊，主线出口、分支宝箱、陷阱与回环设计决定探索是否有趣。,起点到终点要能走通，但最好必须经过怪物或机关节点，并给高风险支线留额外收益。,地下城节点结构,至少明确起点终点|强制挑战节点|分支收益|隐藏房间|可回溯程度,用于推动探索决策、资源分配和路线分歧导致的队伍冲突
SY-023,init|plan|write,设定,知识补充,随机词条|装备特效|前后缀|传奇装备,随机词条怎么设计|装备特效怎么写|前缀后缀怎么搭,游戏|轻小说|科幻|奇幻,基础属性、前后缀和唯一特效要分层设计，强度和稀有度不能全靠描述词堆高。,随机词条系统最重要的是层级清楚，让读者一眼看出基础值、词缀加成和唯一特效分别在干什么。,前缀通常强化攻击方向，后缀补基础属性，传奇词条负责改变玩法，三层结构最容易读懂也最容易升级。,装备词条体系,至少区分基础属性|前缀|后缀|唯一特效；稀有度要对应掉落和成长阶段,用于制造刷宝快感、职业流派差异和装备成长线
SY-024,init|plan|write,设定,知识补充,梦境迷宫|潜意识空间|创伤具象化|梦境规则,梦境迷宫怎么设|潜意识场景怎么写|创伤怎么具象化,奇幻|悬疑|轻小说|都市,每一层梦境都要对应一个心理主题和物理异常规则，核心层必须正面碰创伤，不能只写唯美怪景。,梦境迷宫的好看在于空间逻辑崩坏和心理创伤对应，让内心问题变成可探索、可对抗的地图。,表层适合轻度扭曲，深层适合法则崩坏，核心层则要放象征物或影子自我，逼角色直面问题。,梦境迷宫层级,至少明确层数|每层规则|创伤映射物|出路条件；梦境异常需服务人物弧线,用于揭示创伤、完成心理突破和制造超现实探索场景
SY-025,init|plan|write,设定,知识补充,时间悖论|时间旅行|自洽规则|时间修正,时间悖论怎么处理|时空穿越怎么自洽|祖父悖论怎么办,科幻|奇幻|轻小说,单一宇宙、多元宇宙或循环自洽三选一先定死，再统一处理所有悖论后果。 ,时间旅行设定最忌临场改规则，必须先决定宇宙如何处理悖论，后续所有事件都按同一机制运作。,如果宇宙自修正，就要有枪卡壳、时间幽影等反作用；如果是多世界分裂，就要承担分线和代价。,时间悖论修正机制,必须明确宇宙模型|悖论后果|修正方式|代价表现；同一作品内不可多套规则混用,用于支撑时间穿越主线、制造因果反噬和解释历史改动边界
SY-026,init|plan|write,设定,知识补充,官制体系|爵位体系|晋升路径|权责结构,官制怎么搭|爵位体系怎么设计|升迁路径怎么写,历史|古言|权谋|奇幻,每一级位阶都要配对应权力、责任和晋升门槛，让称号变化真正改写主角资源与风险。,等级制度真正有用时，不只是头衔好听，而是每升一级都带来不同税权、兵权、义务和敌意。,军功、科举、裙带、战时特授都可以是上升通道，但每条路对应的阵营绑定与后患必须不同。,官职爵位权责体系,至少明确层级称谓|权责边界|晋升渠道|对资源与风险的影响,用于支撑朝堂爬升、军功封爵、门阀压制和制度性冲突
SY-027,init|plan|write,设定,知识补充,黑市|违禁品|风险定价|地下交易,黑市怎么设计|违禁品怎么卖|地下交易怎么有禁忌感,都市|玄幻|科幻|悬疑,黑市商品必须带风险标签和来历污点，价格由危险、稀缺和追查力度共同决定。,黑市的魅力不只在违禁，还在每件商品都附带追缉、诅咒或暴露风险，让购买本身成为抉择。,赃物、诅咒物、军用芯片、奴契等都能组成黑市清单，但必须解释为什么正规渠道买不到以及买到后会惹上谁。,黑市风险商品体系,至少明确商品类型|风险来源|价格依据|交易规矩|追查后果,用于制造地下交易感、资源诱惑和被官方或大势力追缉的连锁压力
SY-028,init|plan|write,设定,知识补充,土法工业|科技树攀升|玻璃肥皂火药|穿越技术,穿越科技怎么攀|土法制玻璃怎么写|基建技术升级怎么排,历史|种田|奇幻,先解决材料替代、温度条件和工艺门槛，再写震惊众人，不要把现代工艺当咒语直接复制。,科技 uplift 的可信度来自土法替代和试错成本，而不是主角一句话就把工业化成果端出来。,海草灰替纯碱、土窑替高炉、粗制工具替精密设备，这些替代过程才是技术流真正的爽点。,土法工业跃迁,必须明确材料替代|工艺难点|试错成本|产量限制；不能一夜之间工业革命,用于推动基建、财富积累、文明提升和旧势力震惊反应
SY-029,init|plan|write,设定,知识补充,黑暗森林|宇宙沉默|费米悖论|星际恐惧,宇宙为什么沉默|黑暗森林怎么变体|发信号为什么危险,科幻|悬疑,先决定沉默原因，再让主角的一个小动作触发星际级后果，恐惧要来自规则而不是单次袭击。,黑暗森林类设定最可怕的不是敌人出现，而是宇宙沉默本身已经是一套会杀人的规则。,大过滤器、观察者文明、狂战探针等都可以，但一旦选定原因，就要让所有文明行为逻辑围绕它展开。,宇宙沉默法则,必须明确沉默原因|探测与暴露规则|主角行为引发的级联后果,用于制造硬科幻级悬念、文明恐惧和误发信号后的灾变链条
SY-030,init|plan|write,设定,知识补充,能力适配|跨世界能力|画风统一|同人改造,角色能力怎么适配新世界|跨世界能力怎么改|同人力量怎么融,轻小说|奇幻|科幻|同人,保留能力神韵，再用目标世界规则重写表现形式和克制关系，别把原能力原样硬搬。 ,跨世界能力适配最重要的是神韵保留和规则重写，让角色像融进新世界，而不是把旧设定生贴上去。,电属性可以变成生物黑客、电磁装置或法则雷霆，核心特征不变，载体和弱点则必须顺着新世界改写。,跨世界能力适配,至少明确保留特征|新表现形式|削弱与补强方向|新世界内的克制关系,用于综漫、同人和诸天流里解决画风冲突与平衡问题
SY-031,init|plan|write,设定,知识补充,异常收容|SCP|收容等级|实验日志,收容体系怎么写|异常分级怎么做|SCP设定怎么搭,科幻|悬疑|规则怪谈,对象等级、收容措施和测试后果都要有一致标准，让组织像系统而不是临时反应。 ,异常收容体系的可信度来自分级标准、固定格式和对失控后果的冷静记录。,Safe、Euclid、Keter 这类分级只是壳，真正关键是每种等级意味着多大风险、需要多少资源和怎样的收容纪律。,异常收容分级,必须明确分级标准|收容流程|实验权限|泄露后果|报告格式,用于支撑组织权力、实验悲剧和异常对象不断升级的压迫感
SY-032,init|plan|write,设定,知识补充,怪物料理|地下城美食|食材处理|食用buff,怪物料理怎么设计|地下城食谱怎么写|吃怪物有什么效果,奇幻|轻小说|冒险,先写去毒和处理步骤，再写口感类比和临时效果，让料理同时有猎奇感和实用价值。,怪物料理有趣的关键不只是新奇食材，而是如何把危险生物处理成能吃、还能带来功能增益的食物。,去毒囊、晒干、圣水焯煮、带短时buff，这些细节能让怪物料理不止是噱头，而变成冒险日常的一部分。,怪物料理与buff,至少明确处理步骤|毒性风险|口感类比|buff时长与强度,用于丰富冒险日常、资源循环和轻松感，同时补充世界生态信息
SY-033,init|plan|write,设定,知识补充,中立区|避难所|和平饭店|地下组织规则,中立区怎么设计|和平饭店规则怎么写|杀手避难所怎么搭,都市|悬疑|奇幻|动作,中立区必须有绝对规则、执行代价和象征性空间，让所有狠角色都在这里暂时守规矩。,地下组织里的中立避难所之所以迷人，是因为它把最危险的人都放在同一屋檐下，却用规矩硬生生压住火药味。,和平饭店、地下诊所、杀手旅馆都适合当中立区，但必须说明谁维持秩序以及破坏规矩的后果有多狠。,中立避难所规则,至少明确禁令内容|执法者|惩罚方式|为何所有势力愿意接受,用于安排多方会面、信息交换、暂时休战和规矩被破后的巨大连锁反应
SY-034,init|plan|write,设定,知识补充,阶层流动|社会流动|上升通道|身份跃迁,阶层怎么设计|社会流动怎么写|底层逆袭靠什么,历史|都市|玄幻|奇幻,先写清底层往上爬的通道和成本，再决定这个世界为什么有人逆袭、为什么更多人爬不上去。,社会阶层只有能流动或被锁死，故事里的野心、嫉妒和逆袭才会真正有重量。,军功、科举、宗门考核、商业暴富都可以是上升通道，但必须有门槛、代价和既得利益者的封锁。,阶层流动机制,至少明确上升路径|门槛资源|失败代价|顶层封锁手段,用于解释主角为何能改命、反派为何守门，以及阶层矛盾为何不断升级
SY-035,init|plan|write,设定,知识补充,超凡者法律|异能管理|修士法规|特殊法,超能力者怎么管|异能社会法律怎么写|修士犯法怎么算,都市|科幻|玄幻|奇幻,给超凡者单独设计管辖权、执法机构和免责边界，不能让超能力只影响打架不影响法律。,当一个世界里有人能飞、能杀、能改记忆，法律如果还和现实完全一样，世界就会立不住。,登记、持证、特勤法庭、越权处罚、异能事故赔偿，都能让超凡社会更像真的在运转。,超凡者特别法,至少明确管辖机构|适用对象|豁免范围|越界后果,用于制造制度冲突、追捕流程、权力灰区和主角被规则卡住或钻规则漏洞的情节
SY-036,init|plan|write,设定,知识补充,贸易网络|资源节点|商路|物资流通|产业链,经济网络怎么写|商路怎么设|资源怎么流动,历史|奇幻|玄幻|科幻,别只写资源产地，还要写它如何被运输、垄断、走私和定价，物资流通本身就是冲突。,资源不是摆在地图上的标签，真正有戏的是它从产地到终端之间经过了谁的手。,矿脉、灵药、粮食、芯片都可以成为资源节点，商路断裂往往比资源本身更能引爆剧情。,贸易网络与资源节点,至少明确核心资源|主要产地|运输风险|控制势力,用于制造抢线、封锁、走私、通胀和主角切入产业链的机会
SY-037,init|plan|write,设定,知识补充,交通网络|危险带|航路|边境通道|旅行成本,地图之间怎么连|交通怎么设计|危险区域怎么影响世界,奇幻|科幻|玄幻|冒险,交通方式和危险地带必须绑定地图结构，让旅行不只是赶路，而是能左右经济和战争的条件。,地图一旦有真正的交通成本和危险带，世界规模才会产生手感，远方也才像远方。,浮空航线、山口、虫洞、海峡、妖兽林都能决定谁先到、谁能封锁、谁必须绕路。,地理交通危险带,至少明确主要路线|阻断条件|控制者|通行成本,用于制造追击、封关、补给困难、地图换卷和地缘博弈
SY-038,init|plan|write,设定,知识补充,历史事件|旧战创伤|时代转折|王朝更替|历史伤痕,历史背景怎么影响现在|重大事件怎么留后果|旧战创伤怎么写,全部,历史不能只写年表，要明确哪场旧事至今还在决定人们怎么恨、怎么怕、怎么结盟。,有分量的历史设定，会把旧时代的创伤和秩序直接压在当代人物身上。,亡国、禁术战争、神灾、旧朝清洗都适合成为当代法律、仇恨和禁忌的来源。,历史断层与当代秩序,至少明确关键旧事|影响对象|遗留禁忌|现实后果,用于解释阵营仇恨、制度来历、遗迹价值和角色家族包袱
SY-039,init|plan|write,设定,知识补充,文化传统|禁忌仪式|节庆|宗教礼俗|民俗,文化怎么设|仪式感怎么写|禁忌传统怎么融进剧情,历史|奇幻|玄幻|悬疑,用节庆、礼俗和禁忌把文明写活，让文化不只是背景板而是能左右人物选择的规则。,文化传统最有力量的时候，是角色必须顺从、违反或借用它，而不是只在设定集里存在。,成年礼、守夜节、送魂仪式、祖训禁忌都能成为情节节点和情绪放大器。,文化传统与禁忌仪式,至少明确参与者|触发时机|禁忌内容|违背代价,用于制造节日戏、阵营差异、禁忌冲突和文化误判
SY-040,init|plan|write,设定,知识补充,教育体系|传承方式|收徒|学院选拔|知识垄断,力量怎么传承|学院怎么筛人|宗门收徒怎么有逻辑,玄幻|奇幻|科幻|学院,明确谁有资格学习、谁负责筛选、谁被排除在外，教育系统本身就是权力结构。,传承体系决定了强者怎么被制造，也决定了普通人要付出什么才能接近核心知识。,考试、师承、血统门槛、记忆灌注、学费债务都能成为教育体系的筛选器。,教育传承筛选体系,至少明确入口门槛|淘汰机制|精英路径|资源来源,用于安排入学、拜师、知识垄断、阶层分化和主角破格晋升
SY-041,init|plan|write,设定,知识补充,冲突源|内外矛盾|资源争夺|理念冲突|权力斗争,世界冲突怎么做|矛盾从哪来|为什么这个世界总有戏,全部,至少同时设计资源、理念、权力和外部威胁四类冲突源，别让世界只靠单一反派撑运转。,长篇世界观要耐写，关键在于冲突源不是一根线，而是一张彼此会牵扯的网。,资源短缺会催生阶层矛盾，理念分歧会改写阵营边界，外敌威胁又可能暂时逼人结盟。,冲突源矩阵,至少明确三类内部冲突|一类外部威胁|各自受影响群体,用于持续供给支线、卷级危机、阵营转换和关系撕裂
SY-042,init|plan|write,设定,知识补充,金手指获取|外挂来源|觉醒方式|继承系统|获得能力,金手指怎么得到|外挂来源怎么设计|主角凭什么拿到能力,玄幻|都市|科幻|无限流,先确定金手指来源和获取条件，再决定为什么偏偏落到主角手里，避免无缘无故天降外挂。,金手指获取方式决定了它的命运感、偶然感和是否会引来别人觊觎。,觉醒、继承、交易、捡漏、绑定、祭品换取都可以，但来源越清楚，后续逻辑越稳。,金手指获取方式分级,至少明确来源类型|首次获得条件|主角特殊性|被夺走风险,用于设计开局钩子、竞争者、命运伏笔和能力归属冲突
SY-043,init|plan|write,设定,知识补充,金手指初登场|首次亮相|第一次亮相|开篇能力展示|第一波爽点,金手指第一次亮相怎么设计|金手指第一次怎么出场|开篇怎么亮外挂|首次展示怎么抓人,玄幻|都市|系统文|无限流,首次亮相既要让读者看到爽点，也要顺手埋下限制和更大悬念，不能只顾炸场。,金手指第一次登场决定读者怎么理解这项能力，是作弊器、代价武器，还是尚未看透的危险礼物。,最稳的处理是先完成一次立竿见影的小翻盘，再露出一条尚未解释清楚的代价或规则。,金手指首次亮相机制,至少明确首次效果|围观反应|隐藏信息|后续限制,用于开篇抓钩、建立能力认知、引出追查者或后续升级期待
SY-044,init|plan|write,设定,知识补充,成长节点|能力解锁|剧情阶段|升级节奏|阶段强化,金手指怎么分阶段升级|能力什么时候解锁|成长节点怎么配剧情,系统文|玄幻|无限流|游戏文,把能力解锁节点绑定到剧情阶段和人物代价，不要让升级只在数值表里发生。,成长节点和剧情阶段对齐，读者才会觉得每次解锁都像推开了故事的一扇新门。,新地图、新对手、新真相、新代价，都可以成为解锁门槛，让成长和剧情互相咬合。,成长节点映射剧情阶段,至少明确阶段数|解锁条件|新能力类型|对应剧情功能,用于安排阶段高潮、成长转折和能力通胀控制
SY-045,init|plan|write,设定,知识补充,限制设计|冷却|次数限制|副作用|条件门槛,外挂限制怎么设|能力代价有哪些|怎么防止战力崩,全部,优先组合时间、次数、代价、场景四类限制，让能力强但永远不能无脑乱开。,单一限制容易被钻空子，组合限制才更像真实世界里的风险系统。,冷却限制输出频率，次数限制保留珍贵感，副作用提高疼痛感，场景门槛增加策略性。,限制类型组合,至少同时明确两类限制|触发条件|规避方式|违规后果,用于制造取舍、逼出智斗、阻止主角在关键战里一键清屏
SY-046,init|plan|write,设定,知识补充,规则链|规则闭环|副本真相|规则递进|怪谈结构,规则系统怎么闭环|规则链怎么做|副本真相怎么收束,规则怪谈|悬疑|无限流,让表面规则、矛盾规则和最终真相形成链式递进，所有规则最后都指向同一个核心解释。,规则类题材最怕散，规则链闭环能保证所有奇怪条款最后都不是乱吓人。,起点负责生存，中段负责怀疑，终点负责揭示秩序来源，闭环后读者回看会更爽。,规则链闭环,至少明确起点规则|中段矛盾|隐藏规则|终局真相,用于支撑整本或整卷副本结构，让推理和恐怖都能收束到同一答案
