编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,人设类型,核心动机,行为逻辑,互动模式,忌讳写法
CH-011,init|plan|write,人设,知识补充,守护型主角|失败不起|强驱动主角|保护欲驱动,主角动机怎么更狠|守护型主角怎么立|失败不起的人设怎么写,全部,给主角一个真的输不起的后果，让他的成长不是想变强，而是不能不变强。,最能支撑长篇的主角驱动力，往往不是简单野心，而是失败一次就会失去至亲、家园或自我底线的守护型压力。,守护驱动能天然连接责任、恐惧和牺牲，让主角每次升级都像在补下一次灾难来临前的准备。,守护驱动型主角,保护特定的人、地或信念，避免重演无法承受的失去,会主动背负风险和代价，面对强敌时比起赢更怕来不及,常因过度承担与同伴冲突|在危机中成为团队核心支柱,动机只停留在口号|没有具体守护对象|压力说得重但行动始终很散
CH-012,init|plan|write,人设,知识补充,刺客组织|信条成员|职业杀手|戒律型角色,杀手组织成员怎么写|刺客信条角色怎么塑造|地下杀手怎么有逼格,都市|悬疑|奇幻|动作,信条、入会代价和中立禁区都要落在角色行为里，让职业感来自戒律而不是耍酷台词。,有信条的刺客角色比普通杀手更耐写，因为他的每次接单、违令和出手都带着组织规则的束缚。,绝不伤无辜、中立旅店不可动手、入会要抹去旧身份，这些戒律都能直接制造冲突和风格感。,信条型刺客组织成员,在组织戒律、个人底线和生存利益之间找到自己的位置,平时冷静克制，行动极简高效，越接近底线越会显露真实人性,组织内守规矩|中立区维持克制|为底线违令时爆发强冲突,只会摆酷没有职业规范|组织信条形同虚设|中立区和禁令从不影响剧情
CH-013,init|plan|write,人设,知识补充,复仇主角|仇恨驱动|不共戴天|血债血偿,复仇型主角怎么写|仇恨驱动怎么不单薄|主角为什么必须变强,玄幻|都市|历史|悬疑,仇恨来源必须具体且不可逆，复仇之外还要给角色留成长空间，避免只剩一路杀到底。 ,复仇型主角最稳的写法不是永远暴怒，而是在报仇路上不断被问：我会不会变成最恨的人。,真正耐写的复仇驱动会把仇恨和责任、底线、代价绑在一起，让主角既有冲力也有自我拷问。,复仇驱动型主角,为不可挽回的失去讨回公道，同时确认自己没有彻底被仇恨吞掉,会主动追查线索和磨练力量，但在关键节点会面临底线与效率的冲突,与同伴在复仇方式上冲突|与反派因旧案形成强绑定,仇恨来源轻飘飘|主角除了喊复仇没有别的层次|报完仇后整个人物立刻空掉
CH-014,init|plan|write,人设,知识补充,代价成长|苦修主角|每升一级都掉肉|牺牲换力量,成长型主角怎么写更有重量|力量代价怎么落在人设上|苦修主角怎么立,玄幻|仙侠|奇幻|都市,把代价写进身体、关系或精神状态里，让每次变强都像从自己身上切下一块东西。,高代价成长型主角的魅力在于力量不是白捡的，他每一次突破都真正在失去些什么。,伤病、寿命、感情隔阂、理智侵蚀都可以成为代价，这会让爽点更扎实也更疼。,代价成长型主角,明知越走越痛仍不得不继续变强，以换取活路或守护资格,对力量既依赖又警惕，平时会隐藏损耗，关键时刻又会选择继续透支,同伴担心他的代价|他本人拒绝停下|与力量来源形成危险共生,嘴上说代价大实际毫无损伤|代价只存在设定文里|代价和成长收益完全不成比例
CH-015,init|plan|write,人设,知识补充,功能型配角|记忆点配角|不可替代配角|多功能角色,配角怎么更有存在感|配角怎么不工具人|配角记忆点怎么做,全部,每个配角都给一个功能位和一个强记忆点，再决定其出场频率，别一堆名字挤在场上抢焦点。,配角真正立得住，靠的是功能明确、记忆点清晰和出场频率受控，而不是堆人头。,一个情报官、一个情绪缓冲位、一个反向价值观位，比三个都只会惊叹主角的朋友更耐用。,功能鲜明型配角,围绕自身功能目标和个人诉求，为主线持续提供稳定价值,在自己擅长的领域不可替代，在非主场则不过度抢戏,按功能补位主角|在关键节点贡献独有资源或判断,只有名字没有任务|所有配角都抢主角戏份|记忆点全靠口头禅硬撑
CH-016,init|plan|write,人设,知识补充,恐惧驱动|创伤主角|噩梦倒逼成长|高压求生,恐惧驱动主角怎么写|有阴影的主角怎么立|主角为什么拼命变强,全部,给主角一个具体且会复发的恐惧源，让他的成长像长期自救而不是热血口号。,恐惧驱动型主角的动力不是我想赢，而是我太清楚如果再输一次会发生什么。,童年灾难、预见末日、曾经来不及救人，都可以让主角形成过度准备和强迫成长的内核。,恐惧驱动型主角,避免噩梦重演，阻止某种已知灾祸再次降临,会高频做预案、囤资源、提前试错，对风险异常敏感,常因过度紧绷与同伴发生摩擦|在真正危机里又成为最先反应的人,只嘴上说怕却行动散漫|恐惧来源空泛|恐惧只会让角色发抖不会逼他做选择
CH-017,init|plan|write,人设,知识补充,阶段目标|长篇主角|短中长期目标|主角路线,长篇主角目标怎么设|主角目标怎么分阶段|为什么越写越有方向,全部,给主角同时配置短期、中期、终局目标，让每卷都有阶段成果又不丢总线。,多阶段目标型主角更适合长篇，因为读者能持续看到阶段进展，而不是一直等终局。,活下去、救某人、查真相、改世界，这些目标可以层层套娃，让成长路径越来越清晰。,多阶段目标型主角,先解决眼前生存与身份问题，再逐步追向更高层次的命题,会根据阶段目标调整行动优先级，但始终被终局方向牵引,同伴会围绕不同阶段目标加入或离开|每达成一层目标关系都会重排,目标只有空泛终点|中途完全不知道这卷要做什么|每阶段目标彼此割裂
CH-018,init|plan|write,人设,知识补充,主角弱点|可代入主角|情感软肋|缺陷魅力,主角弱点怎么写|主角怎么更像人|有缺点的主角怎么不讨厌,全部,弱点必须真实影响行动和代价，让读者既想替他着急，也愿意继续陪他长大。,可代入的主角通常不是完美机器，而是有短板、有情绪、有软肋，却仍会往前走的人。,优柔、偏执、自卑、控制欲都可以写，但要让缺陷既制造麻烦，也带来人格辨识度。,弱点可代入型主角,在不断暴露短板的过程中证明自己仍值得被信任和被爱,会在压力下暴露旧习或缺陷，再通过代价和反馈慢慢修正,同伴既会被他连累也会被他打动|关系变化常围绕缺陷暴露展开,主角只有优点|弱点从不真正坏事|缺陷只是嘴上说有实际全程完美
CH-019,init|plan|write,人设,知识补充,独立女主|有自己目标的女主|女主成长|女性角色,女主怎么不围着男主转|独立女主怎么写|女主目标怎么设,现言|古言|幻言|玄幻,女主必须有自己的目标、代价和成长路线，情感线只是她人生的一部分。,女主真正立住的标志，不是强不强，而是离开男主视角她仍然有完整的人生方向。,她可以争权、求道、复仇、救家族，也可以追求职业与自我认同，爱情不该吞掉这些线。,独立目标型女主,完成自身事业、理想或责任，而不是只做主角成长的奖励品,会为自己的目标主动决策和承担后果，不因恋爱自动失去判断力,与主角既有情感吸引也有路线分歧|常在合作中互相校准而非单向依附,一恋爱就只剩围着男主转|所有能力只为救男主服务|没有脱离情感线的个人命题
CH-020,init|plan|write,关系,知识补充,双强搭档|互补冲突|强强关系|关系拉扯,双强搭档怎么写|两个人怎么既互补又冲突|强强感情线怎么立,现言|古言|奇幻|悬疑,让两人价值观或方法论存在稳定冲突，同时在能力和视角上互补，关系才有持续张力。,双强关系最好看的地方，常常不是并肩秒人，而是两个都很能的人偏偏看法不一样。,一个擅长正面推进，一个擅长绕路布局；一个守规矩，一个敢破局，这些差异最能撑长期互动。,互补冲突型双强搭档,在彼此都不愿完全让步的前提下达成更大的共同目标,合作时互补提效，决策时频繁碰撞，关键时刻又会默认把后背交给对方,争论|拆招|互救|彼此修正路线,只有强设定没有冲突|冲突全靠误会|一谈恋爱就突然失去脑子和边界
CH-021,init|plan|write,关系,知识补充,共同成长|情感搭档|双向拉升|关系成长,感情线怎么双向成长|两个人怎么一起变好|情感关系怎么推进,现言|古言|幻言|轻小说,关系推进要和人物成长绑定，让两个人因为彼此而改变，而不是只靠误会和和好循环。,耐写的情感搭档关系，核心不只是甜，而是两个人都因为对方学会了新的活法。,她让他学会信任，他让她学会表达；成长必须双向，关系才会越来越厚。,共同成长型情感搭档,在并肩解决外部问题的过程中完成内在修补和彼此靠近,会从互试探到互托底线，关键节点愿意为对方调整原先的固执路径,并肩破局|互揭伤口|共同兑现承诺,全靠误会拉时长|一方单向拯救另一方|谈了很久关系却没有结构性变化
CH-022,init|plan|write,配角,知识补充,场景窗口配角|世界观窗口|地方角色|路人功能,路人怎么带出世界观|场景配角怎么用|地方角色怎么写,全部,让某些小角色专门承担场景窗口功能，用他们的工作、口头禅和反应把世界规则带出来。,场景窗口型配角的价值，在于让世界观通过活人自然流出，而不是靠作者说明。,渡口老船夫、医院夜班护士、学院门卫都很适合承担局部世界观的自然展示。,场景窗口型配角,在守住自身生活秩序的同时回应主角闯入带来的变化,会用职业习惯、地方规矩和第一反应暴露这个世界怎么运转,短时互动但信息量高|常在关键场景充当环境翻译器,小配角只会机械解释设定|没有身份感|说完信息就像工具人立刻消失
CH-023,init|plan|write,配角,知识补充,任务触发型配角|事件引爆器|剧情钥匙角色|功能路人,配角怎么触发剧情|小角色怎么带出任务|事件引爆角色怎么写,全部,给这类配角一个明确的出现条件和剧情开关作用，让他每次出场都能推动局面变化。,有些小角色不需要长弧线，但必须像钥匙一样，一出现就能打开新任务或新冲突。,送信人、目击证人、招募官、失踪者家属都可以承担事件触发器功能。,任务触发型配角,基于自身需求把主角拖进某个任务、麻烦或机会之中,出场目标明确，行动直指事件开关，不会长时间占据主线焦点,带来任务|提供线索|引燃冲突后退居次位,出场很多却不触发任何变化|功能模糊可被任何人替换|一触发完就逻辑蒸发
CH-024,init|plan|write,配角,知识补充,语言特征|口头禅|说话习惯|小配角记忆点,小配角怎么更有记忆点|说话方式怎么区分角色|口吻怎么写,全部,用职业词汇、句式习惯和情绪反应塑造语言特征，不要只靠生硬口头禅。,小配角最快的立法之一，是让他一开口就带出身份、脾气和立场。,军人短句、律师严谨、地痞绕弯、老派长辈讲典故，这些差异能快速立人。,语言特征型小配角,通过鲜明说话方式表达身份习惯和个人立场,在不同情绪下句式会变化，但底层语言习惯保持稳定,一开口就能区分人|常用对话迅速烘托场面和关系温度,所有角色说话一个味|只给口头禅不给真实语感|为了区分硬塞生僻词
CH-025,init|plan|write,配角,知识补充,见证者配角|侧面衬托|旁观视角|主角映照,怎么从侧面写主角厉害|旁观角色怎么用|见证者角色怎么设计,全部,让见证者带着自身立场观察主角，用他的理解变化来放大主角影响力。,见证者配角最大的价值，是让读者从旁观角度看见主角到底改变了什么。,旧同学、地方官、小记者、学弟妹都适合充当见证者，他们的震惊或改观比自吹更有效。,见证者视角型配角,试图理解、记录或评判主角及其引发的变化,起初有偏见或误判，随着事件推进逐渐修正认知,旁观|记录|转述|在关键节点替读者发出判断,纯捧哏没有立场|只会夸主角不产生认知变化|存在感仅靠惊叹号堆出来
CH-026,init|plan|write,配角,知识补充,危险向导|知情者角色|隐藏规则|半真半假引路人,知情者角色怎么写|危险向导怎么设计|知道规则的人怎么立,悬疑|规则怪谈|奇幻|冒险,让向导知道一部分真相却另有所图，他给的信息必须有用，但不能完全可信。,危险向导型角色最耐写，因为他既是通往真相的捷径，也是新的风险源。,这类角色适合掌握隐藏规则、地图捷径或组织内幕，但会出于自保、交易或试探故意留一手。,规则知情者型危险向导,利用主角达成自身目的，同时避免自己成为最先死的人,会给半真半假的帮助，关键时刻根据利益和情感在背叛与援手间摇摆,交易式引导|信息换保护|偶尔救命也可能挖坑,知道真相却毫无代价地全盘托出|纯拖剧情的谜语人|反复横跳但没有利益逻辑
CH-027,init|plan|write,反派,知识补充,秩序反派|规则狂|控制欲反派|洁癖型统治者,秩序型反派怎么写|特别讨厌混乱的反派|控制狂反派怎么立,历史|悬疑|奇幻|科幻,让他的残酷来自对秩序的绝对执念，而不是单纯发疯；他必须真能把世界收拾得更整齐。,秩序洁癖型反派可怕之处，在于他解决问题的效率常常是真的，只是代价是把人也当成杂音清掉。,这类反派适合拥有制度、军队、规则解释权或技术垄断，他的逻辑常是为了整体稳定，必须牺牲异常与少数。,秩序洁癖型反派,清除不可控因素，建立绝对可预测的世界,偏好规章、分层和清洗异常；越接近失控局面，手段越会冷硬彻底,把主角视作高效工具或必须处理的污染点|常用制度和秩序感压人,嘴上说秩序却毫无治理能力|残酷没有制度逻辑|突然心软只因剧情需要
CH-028,init|plan|write,反派,知识补充,救世反派|偏执救世|牺牲少数|为了大局,救世型反派怎么写|为了拯救世界做坏事的人怎么立|极端理想主义反派,玄幻|奇幻|科幻|悬疑,救世偏执型反派必须真的在拯救某种东西，只是他把代价算在了别人头上。,救世偏执型反派不是不爱人，而是爱得太抽象，于是愿意牺牲具体的人来换整体存续。,他可能在阻止灭世、维持秩序、救下一城一族，但方法一定踩过底线，这样读者才会既反对又能理解。,救世偏执型反派,用极端牺牲换来整体存续、文明延续或长远和平,愿意舍弃少数、今天和个体尊严去换明天的大局稳定,常真心劝主角理解或加入自己|把分歧定义为代价承受能力不同,嘴上救世实则只想权力|计划全靠口号没有可执行性|牺牲逻辑只服务洗白
CH-029,init|plan|write,关系,知识补充,旧友宿敌|青梅竹马反目|昔日同路人|分岔型对手,旧朋友变对手怎么写|曾经同路的人为什么反目|宿敌关系怎么更扎心,全部,让两人共享起点和旧情，再让关键分叉点决定他们为什么越走越远，别只拿回忆充数。,旧友分岔型宿敌最伤人的地方，是双方都知道彼此曾经能理解自己，只是后来选择了不同的底线。,共享理想、并肩求生、同门同学都能成为起点，越是熟悉彼此软肋，对决时越能兼具杀伤和不舍。,旧友分岔型宿敌,证明当年分叉的路才是对的，或把旧友拖回自己的道路,既了解对方，也会主动利用共同记忆和旧伤制造压力,针锋相对中夹着旧日默契|能一眼看穿彼此惯性|冲突总带私人温度,只有怀旧没有现实冲突|反目原因太轻却硬上升到生死|一见面只会互喊旧称呼
CH-030,init|plan|write,人设,知识补充,体面领袖|外稳内裂|高位脆弱|强撑型领导者,看起来很稳的领袖怎么写脆弱|高位者的崩溃感怎么立|外表体面内里快裂开的人设,都市|权谋|现言|奇幻,公开场合永远稳住，裂口通过私下控制癖、替代动作和过度准备显现，不要一会神一会疯。,体面外壳型脆弱领袖的魅力，在于他越能控制场面，读者越能感到他其实不能允许自己塌一次。,这类角色适合背着组织、家族、公司或阵营，他的脆弱通常不会直接哭出来，而是藏在失眠、清单、反复确认和强迫掌控里。,体面外壳型脆弱领袖,守住权威、组织或家庭不崩，同时不让任何人看到自己失控,会优先稳定局面与人心，私下再处理恐惧、焦虑和崩坏冲动,对外维持可靠与压场|只在极少数亲近者面前露出裂口,脆弱只靠哭戏表现|领袖身份没有真实负担|情绪断裂没有任何前兆
CH-031,init|plan|write,主角,知识补充,欲望错位|成长主角|想要和需要不同|错误目标,人物弧线怎么写得更完整|主角想要的和真正需要的不同怎么办|成长型主角怎么设计,全部,先让主角拼命追一个外在目标，再通过挫败逼他认清真正需要的成长，别一开始就自我觉醒。,欲望错位型成长主角之所以耐写，是因为他前半程的努力往往是对的路数里混着错的执念。,想赢、想复仇、想证明自己都可以是欲望，但真正需要也许是信任他人、放下羞耻、承认软弱或改变价值观。,欲望错位型成长主角,先达成一个外在可见的目标，再在过程里被迫面对真正缺的东西,会持续做对局面有利却对自我有害的选择，直到代价逼他修正路线,常把真正关心自己的人推开|前期执拗，后期因认知修正而改变关系处理方式,主角开场就知道自己所有问题|欲望和需要完全重合没有弧线|成长只靠别人讲道理
CH-032,init|plan|write,人设,知识补充,创伤回避|伤口型角色|不敢面对过去|逃避旧伤,有创伤的人设怎么写|一直躲旧伤的角色怎么立|角色为什么总回避某类关系,全部,让旧伤真实影响选择路径和关系处理，回避不是标签，而是会不断把角色带向错误决定的惯性。,伤口回避型角色表面理智稳定，实则会绕开一切触及旧伤的选择，这种回避会决定他一半以上的错误。,他可能避开亲密关系、拒绝某类任务、装作不在乎某种评价，真正好看的是读者能逐渐看懂这份躲闪从何而来。,伤口回避型角色,维护不再被同样伤害击中的最低安全感,遇到触痛点会转移话题、后撤、拒绝承诺或提前切断关系,嘴硬|误解式疏离|在被理解前常先把人推远,只说有创伤却不影响选择|回避全靠失忆|一揭伤口就立刻痊愈
CH-033,init|plan|write,反派体系,知识补充,反派群像|层级对手|压力接力|boss体系,反派体系怎么搭|不同层级对手怎么分工|长篇对手群怎么排,全部,多层反派不是排队送头，每一层都要承担不同的压力维度，并把主角往更高一级的问题上推。,层级接力型反派群的关键，不在数量，而在于每层对手都把世界难度换了一个维度。,基层敌人代表局部麻烦，中层敌人掌握资源和组织，高层敌人决定规则与秩序，这样接力才有长篇张力。,层级接力型反派群,各自维护本层利益与上位秩序，同时不断试探、围堵和筛选主角,基层先碰撞，中层补围剿，高层改规则；不同层级之间也会互相利用与甩锅,一层刚倒下一层就接手压力|不同反派有各自立场而非只有服从关系,每层只是数值更高的换皮怪|前后层级彼此无关联|所有反派都只围着最终Boss转
CH-034,init|plan|write,关系,知识补充,师徒宿敌|理念同源|同门对立|继承之争,师徒反目怎么写|同门宿敌为什么更好看|理念相近却对立的关系怎么立,武侠|玄幻|奇幻|悬疑,让双方共享同一套出发点，只在底线、代价或手段上分家，这样每次对决都像在争解释权。,理念同源型师徒宿敌最狠的地方，不是完全对立，而是他们都觉得自己才真正继承了那套教义。,同样信奉正义、秩序、守护或求真，只是在牺牲谁、做到哪一步的问题上分道扬镳，会让冲突更有重量。,理念同源型师徒宿敌,证明自己才是那套理念的真正继承者，并纠正或击败走偏的对方,会在交锋中引用共同训练、旧教诲和相同原则，只是落点完全不同,既想压倒对方又想被对方承认|对决总带辩论意味和私人情感,师徒关系只是名义标签|双方理念完全无关|只靠辈分和回忆硬撑冲突
CH-035,init|plan|write,导师,知识补充,冷面导师|护短师父|刀子嘴老师|严师型长辈,冷面护短的师父怎么写|嘴硬心软导师怎么立|严师型角色怎么更好看,玄幻|武侠|都市|奇幻,他的关心最好落在训练、兜底和出手顺序上，而不是靠嘴上突然煽情。 ,冷面护短型导师的魅力，在于他嘴上最不留情，真出事时却比谁都先站出来收场。,这种角色适合承担高压训练、战斗压阵和原则边界，他的爱通常通过要求、准备和替徒弟挡灾体现。,冷面护短型导师,把弟子磨成能活下去的人，同时绝不允许外人先把自家人折断,日常高标准、低情绪表达，关键时刻会果断接手局面并替后辈兜底,平时训得最狠|出事护得最硬|极少夸人但一夸就有重量,只会骂不见护短|护短变成无脑偏袒|突然煽情得像换了个人
CH-036,init|plan|write,军师,知识补充,军师型配角|账本脑|算账参谋|资源脑角色,军师配角怎么写|特别会算账的人设怎么立|资源型参谋角色怎么做,全部,让他的价值体现在资源调配、代价测算和风险预判上，不要只会说大家冷静一点。 ,算账型军师不是单纯理智，而是能把人情、资源、时间和成本一起换算成决策的人。,这种角色最适合队伍、家族、组织和创业流，他的存在能给剧情增加计划感、损耗感和现实摩擦。,算账型军师,用最小代价守住队伍、计划或势力的长远收益,遇事先算时间、资源、风险和人心波动，再决定是否推进或止损,常与热血型角色冲突|负责泼冷水也负责在残局里找出路,只会说大道理不会拿方案|军师全靠马后炮|聪明仅表现为否定别人
CH-037,init|plan|write,盟友,知识补充,骗子盟友|表演型角色|嘴上没真话|戏精队友,会骗人的盟友怎么写|表演型角色怎么更立体|戏精队友怎么不烦,都市|悬疑|奇幻|轻小说,别把他写成纯搞笑挂件，他的表演天赋必须能在关键节点变成破局能力。 ,表演型骗子盟友好用，是因为他能在同一场戏里同时制造笑点、误导和真正的救命操作。,伪装、套话、演哭、演醉、演忠诚都可以是他的战斗方式，但他也必须为这种活法付出信任成本。,表演型骗子盟友,靠伪装与话术活下去，并在不断试探中寻找真正能合作的人,习惯先演一层再给真意，越危险越会本能性地使用假面和测试,常拿玩笑遮认真|关键时刻用表演替团队开路|很难完全交底,只会贫嘴没有实际价值|逢骗必赢像无敌外挂|突然坦诚得毫无过程
CH-038,init|plan|write,副手,知识补充,副手反叛|忠诚裂缝|二把手|左右为难的副官,副手型角色怎么写出裂痕|忠诚摇摆的二把手怎么立|副官角色怎么更有戏,历史|权谋|都市|奇幻,裂缝必须建立在长期积压的失望、利益或价值分歧上，别到背叛那章才突然想起他也有心。 ,忠诚裂缝型副手最有戏的地方，是他明明最懂上位者，却也最早看见这条船哪里开始漏水。,长期压抑、被忽视、道义冲突、家族牵连和现实利益，都可以一步步在副手心里打出裂缝。,忠诚裂缝型副手,在忠诚、现实、生存与自我价值之间找到一个还能接受的站位,前期会替上位者补漏，后期开始保留信息、延迟执行或暗中留后路,对外仍显得最忠心|对内逐步减少真话和主动性|往往比任何人都更危险,背叛毫无前兆|裂缝只靠一句你变了|副手除了忠诚再无任何个人立场
