编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,技法类型,技法名称,适用场景,常见误区,正例,反例
WT-019,write|plan,人物,知识补充,配角番外|支线补完|侧视角|番外篇,配角番外怎么写|支线怎么补完人设|高人气配角番外怎么做,全部,番外要补动机和空白，不要只重复正文事件；让配角视角解释他在主线里的关键选择。 ,好的配角番外不是发糖或卖惨，而是补正文里没展开的人设动机和隐性行动逻辑。,可以选择主线前、主线平行期或关键事件背面视角，让读者重新理解配角的一次沉默或一次背叛。,人物,配角番外补完法,高人气配角外传|主线空白期补足|隐藏行动揭晓,番外只是正文重复播放|配角突然性格大改|只服务粉丝糖点没有新信息,正文里他只是递来一把钥匙，番外才揭出他为偷到这把钥匙在敌营里熬了三年。,番外把主线原场景从另一个人嘴里复述一遍，没有任何新增价值。
WT-020,write,战斗,知识补充,第三方解说|裁判解说|战术拆招|战斗讲解,解说式战斗怎么写|裁判解说有什么用|怎么解释招式厉害,学院|竞技|玄幻|轻小说,第三方解说只解释关键战术和代价，别把整场对决念成说明书。,在竞技或学院对决里，适量第三方解说能帮读者看懂门道，同时放大战术高明处的爽点。,最有用的不是复述动作，而是点出为什么这一招克制、为什么这次失误致命，以及下一步可能发生什么。,战斗,第三方解说式拆招,学院比赛|公开擂台|职业竞技|复杂能力对决,解说把动作原样重复一遍|解释过密打断节奏|没有判断只会惊叹,“冰镜不是为了反弹火球，”裁判皱起眉，“他在骗对方多耗两成魔力。”,解说员全程只会喊好厉害好快，看不出任何专业信息。
WT-021,plan|write,大纲,知识补充,章级大纲|四任务|剧情任务|情绪任务,一章怎么拆任务|章纲怎么做|章节功能怎么定,全部,每章至少拆出剧情、角色、信息、情绪四类任务，避免只知道这章发生了什么却不知道为什么存在。,章级大纲最实用的拆法不是只写事件顺序，而是把剧情、角色、信息、情绪四类任务同时写清。,这样能直接看出一章是否只推进剧情不推进人物，或只抒情不制造信息变化，从源头减少注水章。,大纲,章节四任务拆解,章纲制作|长篇控节奏|修大纲|查注水,只列事件清单|人物变化和信息变化都没写|情绪目标完全靠写的时候再想,本章剧情任务是抓到线索人，角色任务是让男主第一次怀疑师父，信息任务是揭出钥匙用途，情绪任务是压抑后半步兑现。,本章：去市场，打架，回家。除此之外什么都没定义。
WT-022,plan|write,章纲,知识补充,段落级章纲|5到10段|段落功能|章内分块,一章怎么拆成段|段落纲怎么写|章内结构怎么做,全部,先把一章切成5到10个功能段，每段只承担一个主目标，再安排过渡和钩子。,段落级章纲的作用是把章节从模糊大块变成可执行的功能段，减少写到一半迷路。,开头、铺垫、转折、高潮、收束都可以进一步拆成小段，但每段都应有明确的推进任务和字数感。,章纲,五到十段功能分块,日更写作|长章拆分|章节修文|卡文急救,每段功能重叠|切段太碎影响流动|只写情节不写段末钩子,第一段引入环境与目标，第二段埋入异常信息，第三段冲突爆发，第四段反转，第五段章末钩子。,整章只有一个长段落概述，写作时根本不知道每一块该做什么。
WT-023,plan|write,整合,知识补充,创作输入包|写前整合|章节材料包|写作总览,写作输入包怎么做|写前怎么整合资料|开写前要准备什么,全部,开写前把章节任务、场景列表、关键句、角色状态和规则限制整成一页可读总览，别边写边翻十份资料。,章节输入包能显著降低长篇写作时的丢信息和跑偏，把所有高频需要的前置信息集中到一个入口。,最有用的模块是本章任务、场景顺序、关键句落点、角色当前状态、设定禁区和补充素材摘要。,整合,章节输入包整合,写章前准备|多文档协作|长篇连续创作|防吃书,材料包过大像文档坟场|只有资料没有优先级|写作时还得重新翻原文提炼,一页里同时写明本章的剧情任务、钩子句、角色状态和不能碰的设定限制，开写时几乎不用再跳文档。,资料散在十几个文件夹里，写作时想到哪翻到哪，结果频繁吃书。
WT-024,plan|write|init,人物,知识补充,配角功能分配|配角不可替代|功能型配角|角色任务,配角怎么不重复|配角功能怎么分|路人角色怎么有用,全部,每个配角至少承担一种不可替代功能和一个记忆点，别把配角都写成可互换名字牌。,功能明确的配角更容易在长篇里活下来，因为读者知道他负责什么、缺了他会缺哪一块。,情报位、情绪位、战力位、价值观镜像位都可以，但同类功能不要堆太多，否则角色会迅速同质化。,人物,配角功能分配法,建角色表|群像扩容|精简冗余角色|长篇角色维护,多个配角只有名字不同|出场很多但没有任务|功能冲突导致角色可随意替换,军师负责信息判断，师妹负责情绪牵引，老仆负责历史记忆，每个人都缺不得。,围着主角的三四个朋友除了捧哏和惊叹，没有任何差异化作用。
WT-025,plan|write,结构,知识补充,章节衔接|承上启下|上下章连接|过章,章节怎么承接|上下章怎么连|过章怎么不突兀,全部,每章结尾先确认要把什么冲突带进下一章、又要给后文埋什么新点，承接和铺垫必须同时存在。,好衔接不是简单复述上章，而是让本章延续旧问题的同时，顺手把下一段剧情的引线藏进去。,最稳的做法是明确承接点、变化点、铺垫点三件事：上章留下什么，本章改变什么，下章将被什么牵动。,结构,承接铺垫双向衔接,卷内连续剧情|多线并行长篇|大事件后转场,只顾回收上章不埋后手|突然换地图断情绪|靠旁白硬说时间过去了,上章刚拿到密信，本章先处理追兵，再从密信边角引出帝都线。,上章生死大战刚结束，下章直接吃饭闲聊，前面冲突像没发生过。
WT-026,plan|write,结构,知识补充,一章一爽一压一钩|章内配比|爽压钩|章节设计,一章怎么更抓人|章节内容怎么配比|单章节奏怎么排,全部,单章至少安排一次小兑现、一次压力抬升和一个结尾钩子，让读者既得到糖也被继续往下拽。,连载章节最好同时具备爽点、压力点和钩子，三者齐了，追读黏性才稳定。,爽点负责给回报，压力点负责蓄力，钩子负责续读，缺任意一项都容易让章节显得平或空。,结构,一章一爽一压一钩,日更连载|平台追读章|中短章节,整章只有说明没有兑现|一直压抑不给回报|结尾像句号一样平落,主角先靠小聪明赢下一手，随即发现敌人背后还有更大布局，章末门外又来了第三方。,一章只把设定讲明白，既没人赢也没人急，结尾自然收工。
WT-027,plan|write,伏笔,知识补充,伏笔台账|伏笔编号|回收节点|线索管理,伏笔怎么管理|伏笔怎么编号|长线线索怎么不忘,全部,给关键伏笔编号、记录所在章和预计回收窗口，长篇不要靠脑子硬记。,伏笔台账能把埋线从感觉活变成可追踪的结构活，避免多卷后作者和读者一起失忆。,最实用的字段是伏笔ID、埋设位置、类型、重要度、预计回收章和兜底改写方案。,伏笔,伏笔编号台账法,悬疑长篇|多卷连载|规则怪谈|群像布局,只埋不记|回收时忘了最初形态|轻重不分导致真钩子被杂讯淹没,F-017：第12章埋钥匙缺口，第48章开门回收，重要度高。,某卷随手提过的玉佩到后期突然变主线钥匙，前文却找不到落点。
WT-028,plan|write,场景,知识补充,场景五要素|信息形象冲突情感钩子|场景拆解|场景功能,场景怎么拆|场景五要素是什么|一场戏该包含什么,全部,每个场景至少明确信息、形象、冲突、情感、钩子五个维度，不完整的场景宁可重做。,场景五要素能快速判断一场戏是不是空转，缺哪一项，读感就常在哪个地方塌。,信息负责推进，形象负责可视化，冲突负责动力，情感负责代入，钩子负责续读。,场景,场景五要素拆解,场景纲制作|修文复盘|单章卡文|新人入门,只有信息没有画面|只有气氛没有冲突|场景写完却没有后续牵引,茶馆会面既交代密信内容，又写人群与杯盏，再让跟踪者逼近，最后卡在暗号对不上。,两人坐着聊天半章，只把设定说完，没有画面、风险和后续。
WT-029,plan|write,句法,知识补充,关键句预设|开篇句|转折句|高潮句|章末句,关键句怎么预设|开篇句怎么写|章末句怎么卡,全部,提前预设开篇、转折、高潮、章末四类关键句，让章节在最需要发力的位置有抓手。,关键句预设不是写死正文，而是先给章节最重要的四个发力点钉下钉子。,先有关键句，再反推前后段落的铺垫和承接，能显著提升章内的记忆点密度。,句法,四句式关键句预设,黄金三章|高潮章|情绪重场|章末卡点,全章没有一句能留下印象|关键句来得太早或太晚|句子响但前后铺垫不够,开篇先扔一句异常判断，中段留转折句，高潮砸判断，最后一句翻出新问题。,写完全章才临时想补金句，结果前后情绪接不上。
WT-030,plan|write,节奏,知识补充,情绪曲线|段落起伏|章内节奏|情绪波形,章节情绪怎么排|段落起伏怎么做|章内节奏怎么不平,全部,开写前先画出章内的情绪高低点，再决定哪段加速、哪段回落，不要写到哪算哪。,段落级情绪曲线先行，能避免整章声调单一，也能控制高潮是否来得太早太散。,最常用的是引入、抬升、失衡、爆点、余波五段波形，再根据题材调节陡峭程度。,节奏,段落情绪曲线先行,动作章|情感章|悬疑章|需要强烈章感的连载,整章持续高喊导致疲劳|高潮过早后面只剩拖尾|没有短回落给读者换气,先让角色克制试探，中段突然失控，高潮对撞后留半拍静默，再挂章末钩子。,从第一段吵到最后一段，读者只觉得吵，没有真正峰值。
WT-031,plan|write,连载,知识补充,前情回顾|卷间 recap|关键事件提炼|长篇回顾,前情提要怎么写|卷间回顾怎么做|上一卷怎么总结,全部,优先提炼转折点、人物变化和未填的坑，回顾要像浓缩剧情而不是流水账摘要。,好的前情回顾要让老读者迅速接上情绪，也让新读者一眼知道这卷到底发生了什么。,抓三到五个关键事件、主角变化和世界观展开点即可，细枝末节宁可舍弃。,连载,前情回顾精准提炼,卷间衔接|长篇断更后续写|大转场前总结,把每件小事都列一遍|只有信息没有情绪|为了防剧透把真正关键变化也删掉,先提破局和失去，再提主角地位变化，最后点出尚未解决的大坑。,从头到尾按时间顺序报流水账，读者看到一半就跳过。
WT-032,plan|write,连载,知识补充,卷间预告|留白预告|下卷钩子|不剧透预告,下一卷预告怎么写|卷尾怎么吊读者|预告怎么不剧透,全部,预告只点挑战、人物和方向，不提前交代解法，让期待来自留白而不是信息倾倒。,最有效的下卷预告，是告诉读者更大的风暴要来了，但不告诉他们风暴会从哪一扇门先撞进来。,可以点名新地图、新敌人或旧坑重启，但必须把解答留在正篇里完成。,连载,预告留白式吊桥,卷尾收束|活动章节后|大转场前,预告写成剧情简介|只喊下卷更精彩却不给具体诱饵|过度剧透把悬念讲完,帝都的门终于开了，而等在门后的，并不是他以为的援军。,下一卷主角会去帝都见皇帝并查出真凶，顺便救下师父。
WT-033,plan|write,表现,知识补充,守则说明书|规则文本|仿真格式|怪谈呈现,规则文本怎么写|守则格式怎么做|说明书风格怎么仿真,悬疑|规则怪谈|奇幻,先把格式写得像真的，再在内容里塞轻微异常，让恐怖感来自正常外壳里藏着不正常指令。,规则文本最吓人的地方，不是辞藻阴森，而是它看起来像一份再普通不过的守则。,编号、条款、劝告语气、注意事项等格式越像正式文件，后面的异常内容越扎眼。,表现,守则说明书仿真,副本入场|神秘组织手册|校园守则|怪谈公告,一上来就满篇怪力乱神|格式松散像随笔|异常内容多到没有对比基础,请在九点前熄灯。如听见走廊有人数到四，请不要开门。,这是一份很恐怖的规则，你千万别死，不然怪物就会来。
WT-034,plan|write,表现,知识补充,矛盾规则|并列投放|真假规则|读者推理,矛盾规则怎么放|真假规则怎么排|让读者推理怎么做,悬疑|规则怪谈|推理,把相互冲突的规则并列摆给读者，但要保证其中至少一条能被线索验证，不要纯靠耍赖制造混乱。,矛盾规则的价值在于逼读者和角色一起判断哪一条能活命，而不是单纯把脑子绕晕。,直接矛盾、时间矛盾、身份矛盾都可以用，但必须配套环境证据或人物反应做校验抓手。,表现,矛盾规则并列投放,怪谈副本|密室推理|多势力信息冲突,矛盾只是随机乱写|没有任何验证线索|最后靠作者口头宣布答案,守则说红门安全，值班员却死死拦着所有靠近红门的人。,规则一和规则二互相打架，但正文里没有任何可推理信息。
WT-035,plan|write,伏笔,知识补充,隐藏规则|环境线索|物件线索|人物暗示|三线埋规,隐藏规则怎么埋|环境怎么给线索|人物行为怎么暗示规则,悬疑|规则怪谈|推理,把隐藏规则拆到环境、物件、人物三条线里，让读者能回头对上，而不是只靠主角灵光一闪。,隐藏规则最好不是凭空掉下来，而是一直悄悄藏在场景布置、异常物件和角色习惯里。,环境负责氛围和重复异常，物件负责可触证据，人物负责行为偏差，三线合一时真相最稳。,伏笔,环境物件人物三线埋规,规则怪谈|悬疑副本|侦探推理,线索都塞在对话里|环境只做装饰|揭晓时读者回看找不到依据,窗边灰尘永远缺一角、手册某页被撕走、保安每次提到四楼都会下意识后退。,真相揭晓时突然补一句其实还有隐藏规则，前文却完全没有迹象。
WT-036,plan|write,推理,知识补充,推理链|假设证据排除|逻辑闭环|真相揭示,推理过程怎么写|逻辑链怎么搭|真相怎么一步步推出,悬疑|规则怪谈|推理|科幻,让角色按现象、假设、证据、排除、结论五步推进，推理要能被读者复盘。,好推理不是主角一句我懂了，而是每一步都有前提、有证据、有排除对象。,哪怕最终结论很惊人，过程也要让读者觉得早该如此，而不是作者临时转弯。,推理,假设证据排除推理链,规则判断|身份推理|密室破局|阴谋揭示,主角突然开天眼|证据和结论跨度过大|排除法只靠作者说不是,先确认两条规则冲突，再用死亡样本排除错误项，最后补上隐藏前提得出唯一生路。,没有证据铺垫，主角忽然宣布幕后黑手就是园长。
WT-037,write|plan,描写,知识补充,show don't tell|动作化情绪|不直说情绪|用动作写情绪,不要直接说生气怎么写|用动作表现害怕|情绪怎么不直白讲,全部,优先用动作、微表情和环境反馈替代抽象情绪词，让读者自己感到人物在怕、在怒、在崩。 ,动作化代情法的核心，是把“他很生气”改成读者能看见、能听见、能感到的具体反应。,发白的指节、吞不下去的口水、说到一半突然停住，这些都比直接贴情绪标签更有现场感。,描写,动作化代情法,情绪爆点|人物失控|细腻心理外化|润色改稿,动作堆太多反而失焦|所有情绪都靠握拳咬牙|环境反馈和人物反应脱节,她没说害怕，只是第三次去摸门锁时，指尖已经冷得没了血色。,她很害怕，非常非常害怕，整个人都很害怕。
WT-038,write|plan,修辞,知识补充,创意比喻|陌生化|修辞|文学性,比喻怎么更新鲜|修辞怎么不俗套|陌生化表达怎么写,全部,比喻要和全书气质绑定，用陌生但可理解的意象制造新鲜感，别套烂梗。 ,创意比喻的价值，不只是好看，而是能瞬间把情绪和世界观一并抬高半格。,恐怖文适合伤口、霉味、旧骨头一类喻体，轻喜剧则可以走夸张和错位联想，风格不能乱串。,修辞,陌生化比喻锚定,高情绪段落|关键印象塑造|文风强化,一味求怪导致读不懂|比喻和人物视角不匹配|全篇句句都在炫技,他的笑像冻在骨头缝里的薄冰，看着亮，踩上去却随时会裂。,她美得像花一样，难过得像雨一样，完全没有新信息。
